Timestamp,What is your term time postcode?,Which best describes your current term-time accommodation?,What is your average journey time from your home to Goldsmiths?,What time did you arrive at Goldsmiths each day last week? [Monday],What time did you arrive at Goldsmiths each day last week? [Tuesday],What time did you arrive at Goldsmiths each day last week? [Wednesday],What time did you arrive at Goldsmiths each day last week? [Thursday],What time did you arrive at Goldsmiths each day last week? [Friday],What time did you leave Goldsmiths each day last week? [Monday],What time did you leave Goldsmiths each day last week? [Tuesday],What time did you leave Goldsmiths each day last week? [Wednesday],What time did you leave Goldsmiths each day last week? [Thursday],What time did you leave Goldsmiths each day last week? [Friday],How do you usually travel from home to Goldsmiths?,Why do you commute by public transport?,Which modes of transportation do you normally use to travel to Goldsmiths?,Which station do you use to travel to Goldsmiths?,What type of ticket do you use?,Why do you travel by motor vehicle to Goldsmiths?,Are you the driver or a passenger?,If you drive to Goldsmiths where do you normally park your vehicle?,What changes would encourage you to try an alternative mode of transport?,Why do you walk to Goldsmiths?,Which of these are on your route?,To what extent do you agree or disagree with the following statements?   [There are not enough pedestrian crossings],To what extent do you agree or disagree with the following statements?   [My route is too congested],To what extent do you agree or disagree with the following statements?   [I walk most often alone],To what extent do you agree or disagree with the following statements?   [The pavements are well maintained],To what extent do you agree or disagree with the following statements?   [There is a lot of litter on my route],To what extent do you agree or disagree with the following statements?   [There is not enough lighting at night],To what extent do you agree or disagree with the following statements?   [The pavements are not wide enough],How safe do you feel when walking to Goldsmiths?,Why do you cycle to Goldsmiths?,Where do you park your bicycle at Goldsmiths?,What cycling safety clothing and/or equipment do you use?,How safe do you feel when cycling to Goldsmiths?,Why do you travel this way to Goldsmiths?,What is your age?,Which gender do you identify most with?,Which of the following best describes your current level of study?,What year of study are you in?,Which of the following statements best describes you?
29/10/2018 15:52:25,SE14 New Cross,Shared rental accomodation,Less than 15 minutes,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,On foot,,,,,,,,,It's the quickest way,Train stations/bus stops,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat safe,,,,,,22 - 25,Female,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
29/10/2018 15:52:49,E4 Chingford,Living with parents/guardians during term time,More than 60 minutes,08:00 - 10:00,08:00 - 10:00,08:00 - 10:00,08:00 - 10:00,08:00 - 10:00,After 20:01,After 20:01,After 20:01,After 20:01,After 20:01,Public transport,It's less stressful than driving,Overground,Dont make sense ,Travelcard (weekly),,,,,,,,,,,,,,,,,,,,26 - 30,Male,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
29/10/2018 15:57:32,I would prefer not to say,Goldsmiths halls of residence,Less than 15 minutes,Before 08:00,08:00 - 10:00,10:01 - 12:00,12:01 - 14:00,14:01 - 16:00,After 20:01,18:01 - 20:00,16:01 - 18:00,14:01 - 16:00,12:00 - 14:00,On foot,,,,,,,,,"Very short distance, no other modes make sense, It's more environmentally friendly, I enjoy it",morleys; chick chicken,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Very unsafe,,,,,,22 - 25,Male,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
29/10/2018 16:05:54,E2 Bethnal Green,Living with parents/guardians during term time,Less than 15 minutes,Before 08:00,Before 08:00,Before 08:00,Before 08:00,Before 08:00,After 20:01,After 20:01,After 20:01,After 20:01,After 20:01,Bicycle,,,,,,,,,,,,,,,,,,,It's the quickest way,Backpack,none,Very safe,,Over 40,Non-binary / third gender,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
29/10/2018 16:09:26,N8 Hornsey,Living with parents/guardians during term time,46 - 60 minutes,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Motor vehicle (car or motorcycle/scooter),,,,,because I want to,both,private garage,none,,,,,,,,,,,,,,,,I would prefer not to say,Prefer to self-describe,not sure,0 (Foundation only),I would prefer not to say
29/10/2018 16:09:34,Other,Living with parents/guardians during term time,31 - 45 minutes,10:01 - 12:00,10:01 - 12:00,Did not come to Goldsmiths this day,10:01 - 12:00,10:01 - 12:00,18:01 - 20:00,18:01 - 20:00,Did not come to Goldsmiths this day,18:01 - 20:00,18:01 - 20:00,Public transport,"I don't have a motor vehicle, Good links to public transport","Tube, Overground",New Cross Gate,Pay As You Go,,,,,,,,,,,,,,,,,,,,22 - 25,Male,Full-time undergraduate student,3+,I am a UK citizen studying in the UK
29/10/2018 16:11:39,E14 Poplar,n/a,More than 60 minutes,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,n/a,,,,,,,,,,,,,,,,,,,,,,,n/a,I would prefer not to say,Prefer to self-describe,n/a,0 (Foundation only),n/a
29/10/2018 16:13:35,NW1 Head district,n/a,More than 60 minutes,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,n/a,,,,,,,,,,,,,,,,,,,,,,,n/a,I would prefer not to say,I would prefer not to say,n/a,0 (Foundation only),why is your survey so flipping long #$@&%*!!
29/10/2018 16:15:07,SE14 New Cross,Living with parents/guardians during term time,Less than 15 minutes,10:01 - 12:00,10:01 - 12:00,08:00 - 10:00,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,16:01 - 18:00,16:01 - 18:00,14:01 - 16:00,Did not come to Goldsmiths this day,Did not come to Goldsmiths this day,On foot,,,,,,,,,"Very short distance, no other modes make sense, It's the quickest way, It's the most convenient way","High streets, Zebra crossing, Alleys, Train stations/bus stops",Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Very safe,,,,,,18 - 21,Female,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
29/10/2018 18:55:32,E14 Poplar,Living with parents/guardians during term time,15 - 30 minutes,10:01 - 12:00,08:00 - 10:00,Did not come to Goldsmiths this day,08:00 - 10:00,Did not come to Goldsmiths this day,16:01 - 18:00,16:01 - 18:00,Did not come to Goldsmiths this day,16:01 - 18:00,Did not come to Goldsmiths this day,Public transport,"It's the most cost effective way, I don't have a driving licence, It's the quickest way","Overground, DLR",New Cross,Pay As You Go,,,,,,,,,,,,,,,,,,,,18 - 21,Male,Full-time undergraduate student,3 (UG),I am a UK citizen studying in the UK
